,,,,,
sasihetya̜a̜nú hí̜í̜ta sidyawú̜ wáriryiy,sa=sihetya-hanú hí̜í̜ta sidyawú wáriy=riy,3SG.AN.I=atacar-PAS3   MEL   desnudo   luego=3PL.II,Luego el desnudo los atacó (i.e. la gente del héroe).,T,Payne y Peña (2019): pp. 29
hásiñi richihetyaha̜a̜ ti̜tá̜hu̜níí dawyibeey,hásiy=ni riy=sihetya-ha̜a̜ ti̜tá̜hu̜=níí dawyiy-baay,ahí=en   3PL.I-atacar-ITER.MOV   todo=3SG.AN.II   David-muerto,Allí todos ellos atacaron a David.,T,Payne y Peña (2019): pp. 30
sa̜a̜tu buyá̜á̜,sa-jatu   buyá̜á̜,3SG-beber   yuca:cerveza,Él/Ella bebe cerveza de yuca.,T,Payne (1993): pp. 17
su̜u̜túra,sa-ju̜ttú-rà,3SG-llevar-INAN,Ella/Él lo lleva.,T,Payne (1993): pp. 18
jíryoonú sú̜ú̜yanníí,jíryoonú sú̜ú̜y-janu-níí,serpiente   morder-PAST3-3SG,Una serpiente lo mordió.,T,Payne (1993): pp. 18
,sa-nááyi alchíco-rà,3SG-presionar   Alchico-INAN,Alchico lo presiona.,T,Payne (1993): pp. 18
,rayyá̜á̜ta-jíy,1SG:querer-2SG,Yo te quiero/amo.,T,Payne (1993): pp. 24
,sa-suutá-ra sújay,3SG-lavar-INAN   ropa,Él/Ella lava la ropa.,T,Payne (1993): pp. 28
,sa-ruuy-ye̜e̜y-rà japatíy,3SG-asar-DIST-INAN   coca,Ella/Él está asando coca.,T,Payne (1993): pp. 28
"váte, saruvemaantiñíí",váte sa-ruve-maa-ntiy-níí,codorniz   3SG-reducir.a.la.mitad-PERF-REP-3SG,"Otra codorniz, él la redujo a la mitad",T,Payne (1993): pp. 32
siimyiñíí,sa-jimyiy-níí,3SGI-comer-3SGII,Él lo comió (un animal),T,Payne y Payne (1990): pp. 254
siimyírya,sa-jimyiy-rà,3SGI-comer-INAN:II,Él lo comió (una cosa),T,Payne y Payne (1990): pp. 255
siimyiñíí quiiva̜,sa-jimyiy-ñíí   quiiva̜,3SGI-comer-3SGII   pescado,Él está comiendo el pescado,T,Payne y Payne (1990): pp. 255
siimyiy alchíconíí quiiva̜,sa-jimyiy   Alchíco-níí   quiiva̜,3SGI-comer   Alchico-3SGII   pescado,Alchico está comiendo el pescado,T,Payne y Payne (1990): pp. 255
siimyiy sinumuníí quiiva̜,sa-jimyiy   sinu-mu-níí   quiiva̜,3SGI-comer   tierra-LOC-3SGII   pescado,Él está comiendo el pescado en tierra,T,Payne y Payne (1990): pp. 255
quiiva̜ siimyiy alchíco,quiiva̜   sa-jimyiy   Alchíco,pescado   3SGI-comer   Alchico,Alchico está comiendo (el) pescado,T,Payne y Payne (1990): pp. 255
riityeejásiy ra̜a̜naa su̜u̜toomu sajaada júnro̜o̜,ray-jityee-jásiy   ray-janaa   sa-jutoo-mu   sa-jaada   júnro̜o̜,1SG-insertar-PROX1   1SG-dedo   3SG-boca-LOC   3SG-diente   alrededor,Yo pongo mi dedo en su boca alrededor de su diente,T,Payne y Payne (1990): pp. 262
sarúparya,sa-rupày-rà,3SG-quemar-INAN,Él lo quema,T,Payne y Payne (1990): pp. 280
samutamaa Hiláriora roorijyú̜,sa-muta-maa   Hilario-rà   rooriy-jú̜,3SG-abrir-PERF   Hilario-INAN   casa-apertura,Hilario ha abierto la puerta,T,Payne y Payne (1990): pp. 278
ri̜i̜patyára,ray-ji̜pátya-rà,1SG-derribar-INAN,Yo lo derribo,T,Payne y Payne (1990): pp. 278
raryúpa̜a̜maaníí,ray-rúpa̜a̜-maa-níí,1SG-perder-PERF-3SG,Yo lo dejé escapar,T,Payne y Payne (1990): pp. 280
riya̜a̜tu jí̜í̜ta já̜á̜vyerya buya̜a̜,rirya-jatu   jí̜í̜ta   já̜á̜y-vay-rà   buya̜a̜,3PL-beber   JIITA   uno.grande-CLASS.ANIM.PL-INAN   yuca.cerveza,"Los adultos (estaban) bebiendo cerveza de yuca,",T,Payne y Payne (1990): pp. 306
jatuja̜a̜ rirya̜a̜tu,jatu-ja̜a̜   rirya-jatu,beber-CLASS.líquido   3PL-beber,La bebida que ellos (estaban) bebiendo,T,Payne y Payne (1990): pp. 306
"ri̜i̜cánurya sa̜a̜ñá, dantyamúy rája̜a̜vya jiyu",ray-ju̜cánuy-rà   sa̜a̜ñá   dantya-múy   rá-ja̜a̜vya   jiyu,1SG-gustar-INAN   papaya   a.pesar.de.que-NEG   INAN-crecer   aquí,"A mí me gusta la papaya, a pesar de que no crece aquí",T,Payne y Payne (1990): pp. 324
"riiváay ruujyovɨɨmúra nííra rá̜á̜jɨ́ɨ́jʉ, ráñumaa rúpa rávɨɨmu rúújyo","ray-juváay   ruuy-jo-vɨɨmu-rà   nííra   rá-jajɨ́ɨ́-jù̜,   rá-y-numaa   rúpa   rá-vɨɨmu   rúúy-jo",1SG-hacer/tocar   freír-NOMLZR-adentro-INAN   grasa   INAN-preceder-ADLAT   INAN-AUX.NEG-ahora   pegar   INAN-adentro   freír-NOMLZR,"Yo froto la grasa dentro de la sartén primero, para que no se pegue al interior de la sartén",T,Payne y Payne (1990): pp. 324-325
