,,,,
,Ácari   iina   niínaqui   nu=itíniija   raati-qui-∅,ahora   DET   noche   3S=masato   tomar-GNR.PFV-EC,Esta noche él va a tomar masato,Lai (2009): pp. 88
,Eduardo   raati-i-∅   iina   ácari=yaa   jaari,Eduardo   beber-IPFV-EC   DET   ahora=NWR   ya,Eduardo va a beberlo ahorita mismo,Lai (2009): pp. 119
,"Taana   casiiri-jina,   qui=mii-∅-cura   qui-minga",otro   luna-LOC   1S=hacer-GNR.PFV-RPST   1S-minga,"El otro mes, yo hice mi minga",Lai (2009): pp. 126
,Tácari   yahu++ni=jina   quia=cuhuaa   amuu-yaa-cuma,otro   día-LOC   2S=carne   matar-IPFV-POT,Un día tú matarás animales,Lai (2009): pp. 157
,Qui=saaqu++nii-yaa-∅   quiaja   Don   Leo,1S=contar-IPFV-EC   2S   Don   Leo,"Le voy a contar a usted, Don Leo",Lai (2009): pp. 470
,Qui=pariijata-aariqu+   qui-niiyaca   tarahuaajuuni,1S=ayudar-DPST.IPFV   1S-esposo   trabajar.INF,Yo ayudé a mi esposo a trabajar,Lai (2009): pp. 473
,Atiíjija   quia=nu=turut++-∅-∅   iina   canuú,luego   2S=3S=secar-PFV-EC   DET   pasto.cambira,"Luego, tú secas el pasto",Lai (2009): pp. 497
,huaari   quia=iinii-∅-∅   nuu,ese.momento   2S=girar-PFV-EC   3S,tú lo giras,Lai (2009): pp. 497
,huaari   quia=taani-∅-∅   nuu,ese.momento   2S=ondear-PFV-EC   3S,"luego, tú lo ondeas",Lai (2009): pp. 505
,atiíjija   quia=nu-aniinaca   mii-∅-∅,después   2S=3S-brazos   hacer-PFV-EC,"luego, le haces sus asas",Lai (2009): pp. 505
,Acáami   Iwen=raati-∅-quiaqu+=yaa   nu=amaqu+=iira,río.arriba   Iwen=tomar-GNR.PFV-DPST.NIP=NWR   3S=camino=GOAL,Ahí mismo Iwen bebió antes de su viaje,Lai (2009): pp. 88-89
,"Taana   amariaana-jina,   cana=p+ca-r++-quiaqu+   tarahuajuuni",otro   año-LOC   1P.EXCL=terminar-MMT.PFV-DPST.NIP   trabajo,Nosotros terminamos el trabajo algún año en el pasado,Lai (2009): pp. 128
