,,,,
,Chuchu   enka’-lek   Kanuta,carne   dar-NFUT.1SG   Carlota,Yo le di carne a Carlota,Valenzuela (2011): pp. 98
,Nawa’   enka’-pa-llinerku   la’-a’kasu’…,3PL   dar-CONT-NFUT.3PL>1SG   comer-REL.1SG,Ellos me dieron mi comida…,Valenzuela (2011): pp. 102
,Kwa   enka’-pa-llenma’   ka’-a’mamasu’,1SG   dar-CONT-1SG>2PL   comer-REL.2PL,Yo les di su comida [a ustedes],Valenzuela (2011): pp. 102
,Miñiku=ler   Imicha   musha’-itekla-lli,Meneleo=ler   Emérita   besar-mano-NFUT.3SG,Meneleo besó la mano de Emerita,Valenzuela (2011): pp. 109
,Imicha   Miñiku   musha’-itekla-lli,Emérita   Meneleo   besar-mano-NFUT.3SG,Emérita besó la mano de Meneleo,Valenzuela (2011): pp. 109
,Imicha   Miñiku=ler   musha’-itekla-lli,Emérita   Meneleo=ERG   besar-mano-NFUT.3SG,Meneleo besó la mano de Emerita,Valenzuela (2011): pp. 109
,Kapiser   wiwer-lli,ropa   mojar-NFUT.3SG,La ropa está mojada,Valenzuela (2011): pp. 109
,Napi’   ala’sa’   Shiwilu-k   amana’=lek   i(n)-denma-lli,hace.tiempo   un   hombre   Jeberos=LOC   jaguar-COM   REC-pelear-NFUT.3SG,"Hace mucho tiempo, un hombre en Jeberos peleó con un jaguar",Valenzuela (2011): pp. 114
,kəŋma   kuʃər-puʔ-la ,2SG   puerco-SIMIL.NFUT.2SG,Tú eres como el puerco (comes cualquier cosa),Valenzuela (2008): pp. 207
,wila-wək-lusaʔ-pa   maʔʃa   aʔlək-ðək-iʔnək ,niño-POS.1SG-PL-tal.vez   NEG   enseñar-3PL.O-NEG-NFUT.1SG,Ya que a mis hijos no les enseñé (a hablar Shiwilu),Valenzuela (2008): pp. 209
,tasərpi-ku ,viejo-PRED.1SG,Soy un hombre viejo,Valenzuela (2008): pp. 209
,tasərpi   nukaʔ-ka ,viejo   ser-COP.NFUT.1SG,Soy un hombre viejo,Valenzuela (2008): pp. 210 [Bendor-Samuel (1981): pp. 126]
,tasərpi-ku   nukaʔ-ka,viejo-PRED.1SG   ser-COP.NFUT.1SG,Soy un hombre viejo,Valenzuela (2008): pp. 210
,Lauk-aʔsəku   asuʔ   katuʔtaʔ   samər-iʔla   dəkwaʔ-kuʔ   laʔlaʔwək-kək ,abrir-DUR.1SG   este   dos   pescado-mismo   meter-IMPER.2PL   boca-POS.1SG-LOC,"Cuando abra (la boca), metan los dos pescados (mismos) en mi boca",Valenzuela (2008): pp. 213
,samər   map-aʔsəkuðək   ðinsulu-ʎinərkuðek ,pez   agarrar.DUR.1PL.E   botar-NFUT.3PL>1PL.E,[…] cuando estábamos agarrando pescado nos botaron,Valenzuela (2008): pp. 213
,Kanuta-lər   aʔ-tuluner-ettʃu   Kuʎuʃək ,Carlota-ERG   CAUS-cantar-FUT.3SG   Cruz,Carlota le va a hacer cantar a Cruz,Valenzuela (2008): pp. 216
,Kishu   əkʔ-lansaʔ-pa-ʎi   Pulu-lər ,Jesús   APL-bailar-CONT-NFUT.3SG   Pablo-ERG,A Jesús le está haciendo bailar Pablo,Valenzuela (2008): pp. 217
,Supaj-lər   əkpa-iʔɲi ,demonio-ERG   llevar-NEG:NFUT.3SG,El diablo no lo logró,Valenzuela (2008): pp. 217 [Bendor-Samuel (1981): pp. 161]
,Wəkila-lər-ima   ðiʔ-tuwiɲi   inchilala-k   wəkapinchaʔ-sik ,trueno-ERG-EV   matar-PRFV-FRUST:NFUT.3SG   camino-LOC   venir:VEN-DUR.3SG,"El trueno casi lo mató en el camino, cuando venía",Valenzuela (2008): pp. 217 [Bendor-Samuel (1981): pp. 54]
,Tanku-mərʔpi-lər-untaʔ   aʔ-ikiʎuʔ-ʎi   Kanuta ,plátano-verde-ERG-REP   CAUS-doler:barriga-NFUT.3SG   Carlota,También el plátano verde le hizo doler la barriga a Carlota,
